"mesh_id","project_id","project_name","research_area","source_status","reviewed_status","action","include_in_dated_capture_baseline","include_in_default_reviewed_future","exclude_superseded","exclude_duplicate_in_future","disputed_source_version_excluded_from_strict_mode","evidence_note","source_urls"
"92-4846","city-group-148","1139 Lorne Park Rd.","group-status","Proposed","Vacant redevelopment land marketed; proposed shape status unverified","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","June 19, 2026 listing explicitly markets vacant remediated land, not completed building. Existing municipal site-plan shape is retained as uncertain; no official cancellation was found.","https://www.zolo.ca/mississauga-real-estate/1139-lorne-park-road ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.61469329623921%2C+%22y%22%3A+43.53164401162314%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"92-4840","city-group-146","1148-1154 Mona Rd.","group-status","Proposed","Townhouse/semi-detached application; holding-removal pipeline","Retain source massing with cited caveat","Not separately specified","true","false","false","false","2025 planning rationale confirms Queenscorp Mona II identity at 1148/1154 Mona. H-OZ 25 5 current inventory concerns exact parcel. Nearby 1136/1160 Mona construction is not proof this proposal is complete.","https://www.mississauga.ca/wp-content/uploads/2025/01/09150354/oz-opa-25-2-w1-original-submission-Planning-Justification-Report.pdf ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.5890444982346%2C+%22y%22%3A+43.55558679144624%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"92-4841","city-group-146","1148-1154 Mona Rd.","group-status","Proposed","Townhouse/semi-detached application; holding-removal pipeline","Retain source massing with cited caveat","Not separately specified","true","false","false","false","2025 planning rationale confirms Queenscorp Mona II identity at 1148/1154 Mona. H-OZ 25 5 current inventory concerns exact parcel. Nearby 1136/1160 Mona construction is not proof this proposal is complete.","https://www.mississauga.ca/wp-content/uploads/2025/01/09150354/oz-opa-25-2-w1-original-submission-Planning-Justification-Report.pdf ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.5890444982346%2C+%22y%22%3A+43.55558679144624%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"92-4842","city-group-146","1148-1154 Mona Rd.","group-status","Proposed","Townhouse/semi-detached application; holding-removal pipeline","Retain source massing with cited caveat","Not separately specified","true","false","false","false","2025 planning rationale confirms Queenscorp Mona II identity at 1148/1154 Mona. H-OZ 25 5 current inventory concerns exact parcel. Nearby 1136/1160 Mona construction is not proof this proposal is complete.","https://www.mississauga.ca/wp-content/uploads/2025/01/09150354/oz-opa-25-2-w1-original-submission-Planning-Justification-Report.pdf ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Issued_Building_Permits/FeatureServer/0/query?f=json&geometry=%7B%22x%22%3A+-79.5890444982346%2C+%22y%22%3A+43.55558679144624%2C+%22spatialReference%22%3A+%7B%22wkid%22%3A+4326%7D%7D&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&distance=90&units=esriSRUnit_Meter&outFields=BuildingPermitNumber%2CIssuedDate%2CBuildingPermitType%2CBuildingPermitScope%2CAddress%2CApprovedUse%2CResidentialUnits%2CNonResidentialGFA_m2&outSR=4326&returnGeometry=true"
"32-917","city-group-98","1150 Derry Rd. East","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Developer/architect portfolio identifies the five-storey office as a proposed site; no actual completion evidence found.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D140&outFields=*&outSR=4326&f=pjson ; https://www.maharajadeveloper.com/projects"
"71-6170","dundas-1225","1225 Dundas Street East","citywide","Proposed","Under review","Exclude superseded geometry","Not separately specified","false","true","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Old 18-storey snapshot geometry is excluded as superseded until replaced from current 16-storey drawings.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1225-dundas-street-east-oz-opa-22-20-w3/ ; https://urbantoronto.ca/forum/threads/toronto-1225-dundas-street-east-65-62m-18s-smartcentres-turner-fleischer.34304/ ; https://www.mississauga.ca/wp-content/uploads/2025/09/03162624/Site-Plan-Roof-Plan-OZ-OPA-22-20-May-2026-1.pdf ; https://www.mississauga.ca/wp-content/uploads/2025/09/03153037/Statistics-1-OZ-OPA-22-20-May-2026.pdf"
"71-6171","dundas-1225","1225 Dundas Street East","citywide","Proposed","Under review","Exclude superseded geometry","Not separately specified","false","true","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Old 18-storey snapshot geometry is excluded as superseded until replaced from current 16-storey drawings.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1225-dundas-street-east-oz-opa-22-20-w3/ ; https://urbantoronto.ca/forum/threads/toronto-1225-dundas-street-east-65-62m-18s-smartcentres-turner-fleischer.34304/ ; https://www.mississauga.ca/wp-content/uploads/2025/09/03162624/Site-Plan-Roof-Plan-OZ-OPA-22-20-May-2026-1.pdf ; https://www.mississauga.ca/wp-content/uploads/2025/09/03153037/Statistics-1-OZ-OPA-22-20-May-2026.pdf"
"71-6172","dundas-1225","1225 Dundas Street East","citywide","Proposed","Under review","Exclude superseded geometry","Not separately specified","false","true","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Old 18-storey snapshot geometry is excluded as superseded until replaced from current 16-storey drawings.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1225-dundas-street-east-oz-opa-22-20-w3/ ; https://urbantoronto.ca/forum/threads/toronto-1225-dundas-street-east-65-62m-18s-smartcentres-turner-fleischer.34304/ ; https://www.mississauga.ca/wp-content/uploads/2025/09/03162624/Site-Plan-Roof-Plan-OZ-OPA-22-20-May-2026-1.pdf ; https://www.mississauga.ca/wp-content/uploads/2025/09/03153037/Statistics-1-OZ-OPA-22-20-May-2026.pdf"
"71-6173","dundas-1225","1225 Dundas Street East","citywide","Proposed","Under review","Exclude superseded geometry","Not separately specified","false","true","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Old 18-storey snapshot geometry is excluded as superseded until replaced from current 16-storey drawings.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1225-dundas-street-east-oz-opa-22-20-w3/ ; https://urbantoronto.ca/forum/threads/toronto-1225-dundas-street-east-65-62m-18s-smartcentres-turner-fleischer.34304/ ; https://www.mississauga.ca/wp-content/uploads/2025/09/03162624/Site-Plan-Roof-Plan-OZ-OPA-22-20-May-2026-1.pdf ; https://www.mississauga.ca/wp-content/uploads/2025/09/03153037/Statistics-1-OZ-OPA-22-20-May-2026.pdf"
"71-6174","dundas-1225","1225 Dundas Street East","citywide","Proposed","Under review","Exclude superseded geometry","Not separately specified","false","true","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Old 18-storey snapshot geometry is excluded as superseded until replaced from current 16-storey drawings.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1225-dundas-street-east-oz-opa-22-20-w3/ ; https://urbantoronto.ca/forum/threads/toronto-1225-dundas-street-east-65-62m-18s-smartcentres-turner-fleischer.34304/ ; https://www.mississauga.ca/wp-content/uploads/2025/09/03162624/Site-Plan-Roof-Plan-OZ-OPA-22-20-May-2026-1.pdf ; https://www.mississauga.ca/wp-content/uploads/2025/09/03153037/Statistics-1-OZ-OPA-22-20-May-2026.pdf"
"71-6175","dundas-1225","1225 Dundas Street East","citywide","Proposed","Under review","Exclude superseded geometry","Not separately specified","false","true","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Old 18-storey snapshot geometry is excluded as superseded until replaced from current 16-storey drawings.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1225-dundas-street-east-oz-opa-22-20-w3/ ; https://urbantoronto.ca/forum/threads/toronto-1225-dundas-street-east-65-62m-18s-smartcentres-turner-fleischer.34304/ ; https://www.mississauga.ca/wp-content/uploads/2025/09/03162624/Site-Plan-Roof-Plan-OZ-OPA-22-20-May-2026-1.pdf ; https://www.mississauga.ca/wp-content/uploads/2025/09/03153037/Statistics-1-OZ-OPA-22-20-May-2026.pdf"
"71-6176","dundas-1225","1225 Dundas Street East","citywide","Proposed","Under review","Exclude superseded geometry","Not separately specified","false","true","false","false","Address coordinates are approximate map pins. City snapshot meshes are source massing, not construction drawings; latest approvals and final detailed architecture may differ. Old 18-storey snapshot geometry is excluded as superseded until replaced from current 16-storey drawings.","https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1225-dundas-street-east-oz-opa-22-20-w3/ ; https://urbantoronto.ca/forum/threads/toronto-1225-dundas-street-east-65-62m-18s-smartcentres-turner-fleischer.34304/ ; https://www.mississauga.ca/wp-content/uploads/2025/09/03162624/Site-Plan-Roof-Plan-OZ-OPA-22-20-May-2026-1.pdf ; https://www.mississauga.ca/wp-content/uploads/2025/09/03153037/Statistics-1-OZ-OPA-22-20-May-2026.pdf"
"33-4082","city-group-97","125 Eglinton Ave. East, 5115 Thornwood Dr. & 5125 Thornwood Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact inventory maps source label 125 Eglinton/Thornwood to 91 Eglinton Phase application. Existing apartments or six-tower masterplan news do not certify this specific 25-storey phase. No actual completion date found.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D186&outFields=*&outSR=4326&f=pjson ; https://pub-mississauga.escribemeetings.com/FileStream.ashx?DocumentId=36200"
"33-4083","city-group-97","125 Eglinton Ave. East, 5115 Thornwood Dr. & 5125 Thornwood Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact inventory maps source label 125 Eglinton/Thornwood to 91 Eglinton Phase application. Existing apartments or six-tower masterplan news do not certify this specific 25-storey phase. No actual completion date found.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D186&outFields=*&outSR=4326&f=pjson ; https://pub-mississauga.escribemeetings.com/FileStream.ashx?DocumentId=36200"
"33-4084","city-group-97","125 Eglinton Ave. East, 5115 Thornwood Dr. & 5125 Thornwood Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact inventory maps source label 125 Eglinton/Thornwood to 91 Eglinton Phase application. Existing apartments or six-tower masterplan news do not certify this specific 25-storey phase. No actual completion date found.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D186&outFields=*&outSR=4326&f=pjson ; https://pub-mississauga.escribemeetings.com/FileStream.ashx?DocumentId=36200"
"33-4085","city-group-97","125 Eglinton Ave. East, 5115 Thornwood Dr. & 5125 Thornwood Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact inventory maps source label 125 Eglinton/Thornwood to 91 Eglinton Phase application. Existing apartments or six-tower masterplan news do not certify this specific 25-storey phase. No actual completion date found.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D186&outFields=*&outSR=4326&f=pjson ; https://pub-mississauga.escribemeetings.com/FileStream.ashx?DocumentId=36200"
"33-4086","city-group-97","125 Eglinton Ave. East, 5115 Thornwood Dr. & 5125 Thornwood Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact inventory maps source label 125 Eglinton/Thornwood to 91 Eglinton Phase application. Existing apartments or six-tower masterplan news do not certify this specific 25-storey phase. No actual completion date found.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D186&outFields=*&outSR=4326&f=pjson ; https://pub-mississauga.escribemeetings.com/FileStream.ashx?DocumentId=36200"
"33-4087","city-group-97","125 Eglinton Ave. East, 5115 Thornwood Dr. & 5125 Thornwood Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact inventory maps source label 125 Eglinton/Thornwood to 91 Eglinton Phase application. Existing apartments or six-tower masterplan news do not certify this specific 25-storey phase. No actual completion date found.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D186&outFields=*&outSR=4326&f=pjson ; https://pub-mississauga.escribemeetings.com/FileStream.ashx?DocumentId=36200"
"33-4088","city-group-97","125 Eglinton Ave. East, 5115 Thornwood Dr. & 5125 Thornwood Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact inventory maps source label 125 Eglinton/Thornwood to 91 Eglinton Phase application. Existing apartments or six-tower masterplan news do not certify this specific 25-storey phase. No actual completion date found.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D186&outFields=*&outSR=4326&f=pjson ; https://pub-mississauga.escribemeetings.com/FileStream.ashx?DocumentId=36200"
"33-4089","city-group-97","125 Eglinton Ave. East, 5115 Thornwood Dr. & 5125 Thornwood Dr.","inventory73-status","Proposed","Application retained; current construction and completion unverified","Retain source massing with cited caveat","Not separately specified","true","false","false","false","Exact inventory maps source label 125 Eglinton/Thornwood to 91 Eglinton Phase application. Existing apartments or six-tower masterplan news do not certify this specific 25-storey phase. No actual completion date found.","https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D186&outFields=*&outSR=4326&f=pjson ; https://pub-mississauga.escribemeetings.com/FileStream.ashx?DocumentId=36200"
"92-4847","port-credit-128-lakeshore","128 Lakeshore Road East","waterfront","Proposed","Tribunal approval in principle; revised submission","Exclude superseded geometry","Not separately specified","false","true","false","false","The November 2023 tribunal order approves eight storeys plus a technical level in principle. Source 37 m massing represents the older eleven-storey proposal.","https://www.omb.gov.on.ca/e-decisions/OLT-22-004078-NOV-03-2023.PDF ; https://www.mississauga.ca/wp-content/uploads/2025/08/28163343/Functional-Servicing-and-Stormwater-Management-Report-OZ-OPA-22-5-August-2025.pdf"
"71-6167","city-group-130","1315 Silver Spear Road infill","inventory73-status","Proposed","14-storey rezoning recommended; site plan active","Retain source massing with cited caveat","Not separately specified","true","false","false","false","The nine-storey website text is historical. The September 3, 2025 staff report and September 22 committee recommendation address 14 storeys / 255 rental homes. The report describes approximately 45 m height, consistent with source 71-6167 height field 45.05 m. The existing eight-storey building stays. Keep current massing; this establishes version consistency, not a verified construction start or complete facade accuracy.","https://chrisfonseca.ca/wp-content/uploads/2025/09/1315-Silver-Spear-V2-0392-2025-corporate-report.pdf ; https://pub-mississauga.escribemeetings.com/Meeting.aspx?Agenda=PostMinutes&Id=5c6d2952-49ba-42c9-a8f8-b0f1a7450fb4&lang=English ; https://urbantoronto.ca/database/projects/1315-silver-spear-road.48079"
"71-6168","city-group-131","1325 Burnhamthorpe Road East veterinary clinic and office","inventory73-status","Proposed","Four-storey clinic/office site plan under review","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","Current SP 25-22 inventory and September 2025 City staff context describe a four-storey veterinary clinic and office, not a hotel. Ward 3 records document the long-running SP 14-150 file and October 2024 resubmission. The source 16.99 m building may be the same four-storey envelope, but a current dimensioned plan has not been recovered to prove that the former Est Hotel geometry is still applicable. Rename the project, retain source as uncertain, and avoid claiming an operating clinic or confirmed cancellation of the building.","https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=77934 ; https://chrisfonseca.ca/1325-burnhamthorpe-road-east/ ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D106&outFields=*&outSR=4326&f=pjson"
"71-6169","city-group-131","1325 Burnhamthorpe Road East veterinary clinic and office","inventory73-status","Proposed","Four-storey clinic/office site plan under review","Retain source version in violet; exclude from strict verified scenario","Not separately specified","true","false","false","true","Current SP 25-22 inventory and September 2025 City staff context describe a four-storey veterinary clinic and office, not a hotel. Ward 3 records document the long-running SP 14-150 file and October 2024 resubmission. The source 16.99 m building may be the same four-storey envelope, but a current dimensioned plan has not been recovered to prove that the former Est Hotel geometry is still applicable. Rename the project, retain source as uncertain, and avoid claiming an operating clinic or confirmed cancellation of the building.","https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=77934 ; https://chrisfonseca.ca/1325-burnhamthorpe-road-east/ ; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0/query?where=OBJECTID%3D106&outFields=*&outSR=4326&f=pjson"
