projectId,project,district,existingCoverageStatement,result,checkedPublicReferences
bough-beeches-1315,1315 Bough Beeches Boulevard,Applewood / Rathwood,plan-derived model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1315-bough-beeches-boulevard-oz-opa-26-5-w3/
fowler-1970,1970–1980 Fowler Drive,Sheridan / Clarkson,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1970-and-1980-fowler-drive-oz-opa-25-23-w8/
tenth-distribution,Tenth Line distribution centres,Meadowvale / Lisgar,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/0-tenth-line-west-oz-25-22-w9/; https://www.datacenterdynamics.com/en/news/prologis-files-to-develop-data-center-outside-toronto-canada/
tenth-data,Tenth Line data centre,Meadowvale / Lisgar,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/0-tenth-line-west-oz-25-21-w9/; https://www.datacenterdynamics.com/en/news/prologis-files-to-develop-data-center-outside-toronto-canada/
hurontario-7140,7140 Hurontario industrial development,Gateway,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/7140-hurontario-street-21t-m-25-2-w5-and-oz-opa-25-9-w5/
dundas-55,51–55 Dundas West / Agnes Street,Cooksville,plan-derived model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/51-55-dundas-street-west-and-60-66-70-and-78-agnes-street-oz-opa-25-18-w7/
emtc-northwest,Erin Mills Town Centre — northwest phase,Erin Mills,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/5100-erin-mills-parkway-oz-opa-24-15-w9/
tannery-51,51–57 Tannery Street / 208 Emby Drive,Streetsville,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/51-and-57-tannery-street-and-208-emby-drive-oz-opa-24-7-w11/
thomas-64,64–66 Thomas / Joymar / Tannery,Streetsville,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/64-66-thomas-street-95-joymar-drive-and-65-tannery-street/
rutledge-150,150 Rutledge Road,Streetsville,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/150-rutledge-road-oz-opa-24-12-w11/
dundas-3033,3033 Dundas Street West,Erin Mills,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/3033-dundas-street-west-oz-opa-25-11-w8/
streetsville-centre,Streetsville Centre plaza redevelopment,Streetsville,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/120-128-142-154-158-queen-street-south-and-169-crumbie-street-oz-opa-24-8-w11-and-21t-m-24-4-w11/
erin-centre-2555,2555 Erin Centre Boulevard,Erin Mills,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/2555-erin-centre-boulevard-oz-opa-25-6-w11/
fieldgate-3403,Forest Glen plaza / 3403–3445 Fieldgate,Applewood / Rathwood,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/3403-to-3445-fieldgate-drive-oz-opa-25-1-w3/
dundas-1000,1000–1024 Dundas Street East,Dixie / Dundas,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1000-and-1024-dundas-street-east-oz-opa-22-18-w1/; https://insolvencyinsider.ca/p/morrison-financial-wins-receiver-appointment-over-mississauga-dundas-street-redevelopment-lands
dundas-mattawa,Dundas & Mattawa,Dixie / Dundas,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1580-to-1650-dundas-street-east-oz-opa-22-22-w1-and-tm-22004/; https://www.hazelview.com/private-real-estate-investing/development-management/developments/1580-1650-dundas-street-east
dundas-1995,1995 Dundas Street East,Dixie / Dundas,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1995-dundas-street-east-oz-opa-25-5-w3-and-21t-m-25-1-w3/; https://landealgroup.com/1995-dundas/
bloor-1785,1785 Bloor Street infill,Applewood / Rathwood,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1785-bloor-street-oz-opa-22-14-w3/; https://sajeckiplanning.squarespace.com/projects/1785-bloor-street-mississauga
connecting-cooksville,Connecting Cooksville,Cooksville,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/25-and-33-hillcrest-avenue-and-3146-3154-and-3168-hurontario-street-oz-opa-22-19-w7/; https://tasimpact.ca/project/connecting-cooksville/
hurontario-3085,3085 Hurontario Street,Cooksville,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/3085-hurontario-street-oz-opa-21-11-w7/
erin-mills-4099,4099 Erin Mills Parkway,Erin Mills,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/4099-erin-mills-parkway-oz-opa-22-25-w8/
dundas-1225,1225 Dundas Street East,Dixie / Dundas,Duplicate or superseded source geometry excluded; inspect replacement evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/1225-dundas-street-east-oz-opa-22-20-w3/
hurontario-3115,3115 Hurontario / Dam residential tower,Cooksville,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/3115-hurontario-street-oz-opa-22-24-w7/
beverley-5,5–9 Beverley Street,Malton,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/5-7-and-9-beverley-street-oz-opa-22-27-w5/
hurontario-6333,6333 Hurontario self-storage / commercial,Gateway / Heartland,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/6333-hurontario-street-oz-21-1-w5/
goreway-7170,7170 Goreway Drive,Malton,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/7170-goreway-drive-oz-18-13-w5/
ninth-5034,5034–5080 Ninth Line,Churchill Meadows / Ninth Line,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/5034-5054-5080-ninth-line-oz-opa-21-15-and-21t-m21004-w10/; https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/
cooksville-toc,Cooksville GO transit-oriented community,Cooksville,dated 2025 plan-derived approximate tower envelopes; podiums and facades omitted,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/publication/toc-cooksville-3210-hurontario-street/; https://www.infrastructureontario.ca/en/what-we-do/projectssearch/cooksville-go-transit-oriented-community/
john-69,69–117 John Street,Cooksville,Duplicate or superseded source geometry excluded; inspect replacement evidence,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/wp-content/uploads/2025/09/19121446/Shadow-Study-Report-OZ-OPA-24-16-W7-October-2025.pdf
glen-erin-6719,6719–6749 Glen Erin Drive,Meadowvale,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/services-and-programs/building-and-renovating/incentives-for-building-affordable-rental-housing/
winston-6020,6020 Winston Churchill Boulevard,Meadowvale,Source geometry available; current detail may differ,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://skyrisecities.com/forum/threads/toronto-6020-winston-churchill-boulevard-16-59m-4s-2421845-ontario-inc-john-willmott-architect.33768/; https://mpulse.ca/local-developer-builds-affordable-low-rise-housing-in-meadowvale/
brandon-3233,3233 Brandon Gate Drive,Malton,Latest geometry unavailable in source model,No direct exterior 3D download found in inspected page(s); existing City source geometry or documented supplement remains baseline,https://www.mississauga.ca/wp-content/uploads/2025/10/09161455/REVISED-HOZNOTICE-H-OZ-25-1-3233-Brandon-Gate-Dr.pdf
