ID,Project,District,Status,Status date,Actual completion or occupancy,Forecast completion or occupancy,Recorded construction,Geometry coverage,Caveat,Sources
square-one-block22,Square One District Block 22 /97–101 City Centre,Downtown,proposed-old-current-status-unconfirmed,2026-09-20,,,{},Source geometry available; current detail may differ,"The City's 2024 appendix uses 65 and 45 storeys, while the 2020 submission shown by UrbanToronto uses 65 and 55. Municipal meshes carry 205.25 and 175.25 m, but the height convention remains uncertain. An old proposal is not necessarily cancelled.",https://urbantoronto.ca/forum/threads/toronto-97-101-city-centre-drive-m-65s-oxford-properties-hariri-pontarini.30788/; https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0
square-one-office,Offices at Square One District /Block 14,Downtown,proposed,2026-09-20,,,{},Source geometry available; current detail may differ,"Square One Block 14, SP 20-99, may correspond to this project. Its 73.1 m mesh requires a spatial and drawing match. Current web sources did not establish the final architectural height.",https://livesquareonedistrict.com/the-offices/; https://www.investmississauga.ca/downtown/commercial-opportunities/offices-sq1-district/
exchange-district,"Exchange District: EX1, EX2, EX3 and EXS",Downtown,under-construction-partly-completed,2026-09-20,,Phased; see individual towers,{},Source geometry available; current detail may differ,"The four towers have different completion states. CVU/CTBUH calls the tallest tower EX4 and the shortest EX3; current marketing uses EX3 and EXS. These are aliases, not extra towers. Source full geometry is a supplied design and is not as-built proof. Native material nodes cross phases; EXS requires triangle-level spatial classification. EX3 now follows the architect’s 66-storey description. The former 72-storey/232 m form is historical; current metre height is unverified. Its future blue crown is a retained design interpretation, not proof of completion.",https://urbantoronto.ca/news/2024/12/mississaugas-high-point-passes-exchange-district-condos.57488; https://urbantoronto.ca/database/projects/exchange-district-condos.42230; https://www.arcadis.com/en-us/projects/north-america/canada/exchange-district; https://www.skyscrapercenter.com/complex/4765; https://urbantoronto.ca/news/2025/05/colour-coming-mississauga-skyline-exchange-district-crowns.58641; https://rentexs.com/; https://www.skyscrapercenter.com/building/exchange-district-condos-ex1/40025; https://www.skyscrapercenter.com/building/exchange-district-condos-ex2/40026; https://www.skyscrapercenter.com/building/exchange-district-condos-ex4/40024; https://www.maedcollective.com/projects/exchange-district-ex3; https://urbantoronto.ca/news/2026/02/ex3-climbs-higher-exchange-district-mississauga-city-centre.60405; https://www.arcadis.com/en/projects/north-america/canada/exchange-district; https://urbantoronto.ca/forum/threads/toronto-exchange-district-condos-232m-72s-camrost-felcorp-arcadis.29739/page-77; https://urbantoronto.ca/forum/attachments/20260905_155540-copy-jpg.762969/
exchange-south,Exchange District South /The Southlands,Downtown,proposed-active,2026-03,,,{},Source geometry available; current detail may differ,"Municipal SP 22-60 meshes carry 232, 185.05, 185.05 and 125.45 m and appear to reflect the earlier 70-storey tallest tower. The newer 72-storey variant lacks a verified updated height here. March 2026 permit and construction dates are projections, not proof of groundbreaking.",https://urbantoronto.ca/database/projects/southlands.48305; https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf; https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=83367
180-burnhamthorpe,180 Burnhamthorpe Road West,Downtown,proposed-version-conflict,2026-09-20,,May 2030,{},Geometry conflict or version uncertainty; inspect evidence,"The City active-application register as of June 30, 2026 describes two towers of 40 and 60 storeys with an eight-storey podium. A published 2023 revision gives 71 and 46 storeys, with heights of 230.15 m and 155.40 m. Municipal mesh attributes of 135.995 m and 195.595 m do not match that revision. The current register may retain older wording; no dated approved elevation resolves the conflict. Retain the source meshes with a version warning and remove the preliminary definitive supersession claim.",https://urbantoronto.ca/forum/threads/toronto-180-burnhamthorpe-road-west-230-15m-71s-emblem-developments-arcadis.32151/page-4; https://www.skyscrapercenter.com/building/180-burnhamthorpe-road-west-tower-a/46733; https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=83367; https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0
4310-sherwoodtowne,4310 Sherwoodtowne Boulevard,Downtown,proposed,2026-09-20,,,{},Geometry conflict or version uncertainty; inspect evidence,The published 70- and 60-storey scheme has a tallest tower of 226.1 m. Municipal SP 24-41 meshes instead carry 165.25 and 141.35 m. This major discrepancy is unresolved and could represent a newer design or model error. Do not assert that either version is definitive.,https://urbantoronto.ca/forum/threads/toronto-4310-sherwoodtowne-boulevard-226-1m-70s-bdp-quadrangle.35512/; https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0
avia,Parkside Village Avia 1 and 2,Downtown,completed,2025-11-01,"Completed by November 1, 2025",,{},Source geometry available; current detail may differ,Some developer portfolio pages still say under construction. The newer November 2025 construction update says Avia is complete. Use the documented addresses; UrbanToronto's intersection prose is inconsistent.,https://www.lifeatparkside.com/post/voya-takes-shape-as-construction-reaches-new-heights; https://urbantoronto.ca/database/projects/parkside-village-avia-1-2.43527
voya,Voya at Parkside Village,Downtown,Under construction; structurally topped; upper roof finishing continues,2026-08-09,,,"{""evidenceDate"": ""2026-08-09"", ""photographDate"": ""2026-07-26"", ""stage"": ""Both structures topped; short tower nearing occupancy, tall tower roof work unfinished. No completed occupancy date verified."", ""source"": ""https://urbantoronto.ca/forum/threads/toronto-voya-142-25m-44s-amacon-turner-fleischer.32225/page-10""}",published plan-derived illustrative envelope,"Plan-derived schematic of two structurally topped Voya towers. Curved balcony outline and recessed wall outline are traced from the developer presentation; scale is estimated from printed suite areas, with ±5% dimensional uncertainty. Taller maximum 142.25 m comes from a published observer of engineering drawings, not a drawing recovered by this project. Shorter maximum is UNKNOWN: the displayed approximately 124 m envelope subtracts six reported 10-foot upper floors from the taller maximum, assuming equal roof allowance; allow ±6 m and do not treat it as a verified height. Location uses the developer community diagram and adjacent mapped Avia controls; allow ±8 m taller and ±15 m shorter placement uncertainty. Identical generic published tower plate applied to both; detailed floor-by-floor changes and mechanical roof cavities are omitted. Horizontal slab bands are illustrative and their elevations are not construction measurements. Shared stepped podium geometry is not reconstructed because its complete dimensioned plans were not recovered. Both towers were physically topped by July 2026; this model does not establish occupancy or complete cladding.","https://www.lifeatparkside.com/post/introducing-voya-at-parkside-village; https://www.lifeatparkside.com/post/voya-takes-shape-as-construction-reaches-new-heights; https://www.mississauga.ca/wp-content/uploads/2025/01/15082458/MOPA177-jan-2025.pdf; https://drive.google.com/file/d/115Ov9j6l_W9jU44khuYdgLmyBYevCrkq/view; https://drive.google.com/file/d/1gp8KweoV7p11d59d8FJswPzO-7LBousF/view; https://www.mississauga.ca/apps/#/property-preview/compliance-report-coa-text/66203/329571; https://os-prod-api.mississauga.ca/api/v1/plan-build/compliance/report/coa-prop?coaId=66203&realPropId=329571; https://urbantoronto.ca/forum/threads/toronto-voya-142-25m-44s-amacon-turner-fleischer.32225/page-10; https://urbantoronto.ca/forum/attachments/1785965443342-jpeg.755864/; https://api.openstreetmap.org/api/0.6/map?bbox=-79.654,43.585,-79.645,43.59; https://api.openstreetmap.org/api/0.6/changeset/181696491"
parkside-block11,Parkside Village Block 11 future phase,Downtown,approved-old-current-status-unconfirmed,2020,,,{},Latest geometry unavailable in source model,Retain the older approval as uncertain rather than cancelled. Confirm the precise block and any subsequent name or design change before placing geometry.,https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=34; https://urbantoronto.ca/forum/threads/parkside-village-block-11-mcc-amacon-development-s-12s-40s-56s-richmond-architects.30841/
edge-oro,Edge Towers and Oro,Downtown,mixed-completed-and-under-construction,2026-09-20,,,{},Source geometry available; current detail may differ,"The developer's construction confirmation supersedes the municipal Proposed label for 16 Elm, SP 20-103. Counts of 35 and 40 storeys are secondary crosschecks; 50 is primary. CTBUH's approximate 170 m was not used as a verified architectural height.",https://www.solmar.ca/oro-at-edge-towers/; https://www.solmar.ca/news; https://urbantoronto.ca/forum/threads/oro-edge-towers-m-50s-solmar-rosario-varacalli.19140/page-44
artform,Artform,Cooksville,completed,2024,2024,,{},Latest geometry unavailable in source model,Place in the Cooksville section of the atlas. No exact architectural height was verified.,https://www.emblemdevcorp.com/projects/artform; https://urbantoronto.ca/news/2024/12/urbantoronto-year-end-poll-vote-best-buildings-2024-presented-sapphire-balconies.57307
keystone,Keystone by Kaneff,Downtown,Existing,2024,2024,,{},Municipal source geometry identified and retained,"Retain unchanged completed municipal mesh 72-6175; assign to Keystone dossier. No duplicate supplemental tower mesh needed. 81.42 m and 71.90 m are derived from captured vertices above the shared lowest source vertex, not verified architectural height dimensions. Do not replace separate dossier architectural height unknown values with these.",https://keystonecondos.ca/; https://www.newswire.ca/news-releases/kaneff-group-of-companies-breaks-ground-on-keystone-condos-an-architectural-masterpiece-in-the-heart-of-city-centre-mississauga-offering-buyers-an-unparalleled-investment-opportunity-812164919.html; https://urbantoronto.ca/news/2024/12/urbantoronto-year-end-poll-vote-best-buildings-2024-presented-sapphire-balconies.57307; https://keystonecondos.ca/towers/; https://keystonecondos.ca/wp-content/uploads/SitePlan-large.jpg
living-arts-precinct,Living Arts Centre precinct vision,Downtown,council-endorsed-vision-feasibility,2026-06-24,,,{},Latest geometry unavailable in source model,This is not construction approval or final geometry. Show only in an optional vision layer. The illustrated 20-storey rental and 9-storey office buildings are not binding approvals.,https://www.mississauga.ca/city-of-mississauga-news/news/mississauga-unveils-once-in-a-generation-vision-to-transform-the-downtown-core/; https://www.mississauga.ca/city-of-mississauga-news/news/council-recap-june-24-2026/; https://urbantoronto.ca/news/2026/03/mississauga-offers-vision-living-arts-centre-precinct-redevelopment.60529
325-burnhamthorpe,325 Burnhamthorpe Road West /YMCA lands,Downtown,proposed,2026-09-20,,,{},Source geometry available; current detail may differ,"The 2021 letter has 4,277 units, while later records have 3,523. Tower names and heights vary by version. Municipal SP 22-139 geometry attributes are 200.15, 182.45, 176.25, 191 and 161.2 m; these are not independently confirmed architectural heights. No official cancellation was found.",https://www.mississauga.ca/publication/opa-21-21-w4-325-burnhamthorpe-road-west/; https://www.mississauga.ca/wp-content/uploads/2022/03/07173622/W4_325_Planning_Opinion_Letter_Feb2022.pdf; https://www.skyscrapercenter.com/complex/5850; https://urbantoronto.ca/news/2026/03/mississauga-offers-vision-living-arts-centre-precinct-redevelopment.60529; https://services6.arcgis.com/hM5ymMLbxIyWTjn2/arcgis/rest/services/Growth_Management_%E2%80%93_Active_Development_Applications/FeatureServer/0
3600-hurontario,3600 Hurontario Street /Enfield Place II,Downtown,proposed,2026-09-20,,,{},Source geometry available; current detail may differ,"Municipal data has both 3600 Hurontario, SP 25-3, and Enfield Place II, SP 25-21, on adjacent portions of the site. They may be phases or versions; do not infer two confirmed towers until their plans are reconciled. The 2024 City record references the older SP 09-27.",https://urbantoronto.ca/database/projects/3600-hurontario-street.49725; https://pub-mississauga.escribemeetings.com/filestream.ashx?DocumentId=54200
3680-hurontario-concept,3680 Hurontario Street concept,Downtown,sale-feasibility-concept,2021,,,{},Latest geometry unavailable in source model,No formal application was verified. Site clearance alone does not establish tower construction. Keep it off the default model and label any optional display as a concept.,https://urbantoronto.ca/database/projects/3680-hurontario-street.53184; https://urbantoronto.ca/forum/threads/toronto-3680-hurontario-street-m-71s.35956/; https://listingsprod.blob.core.windows.net/ourlistings-can/ac3f6f95-f9bf-44b1-b448-0ef7f23482b8/a1b2b9b0-741d-4d9c-a8c4-15814b7a6b5f
brightwater-master,Brightwater / Port Credit West Village,Port Credit,Partially built; future blocks approved,2026-01-14,,2029–2034 (future blocks forecast),{},Dated plan-derived concept; storey-based vertical estimate,"Only the adopted CURRENT right-hand plan was traced; superseded P/Q/U layouts on the comparison left are excluded. Concept-visible podium wings, open courtyards, curved O2 outline and Campus terraces are simplified. Windows, balconies, doors, roof equipment, cladding, landscaping and parcel grading are not invented. Terrace bands are reduced to the labelled principal podium steps because the source raster cannot support precise intermediate contours. The concept was adopted in 2024. November 2025 committee approval supports implementing those permissions; detailed 2025/2026 zoning PDFs returned access errors, so their precise plan contours were not independently compared.",https://experiencebrightwater.ca/; https://www.mississauga.ca/wp-content/uploads/2026/01/22112618/OZ-25-17-W1-Notice-of-Passing-public-notice.pdf; https://pub-mississauga.escribemeetings.com/Meeting.aspx?Agenda=Merged&Id=3a029998-7e38-412d-ae02-2a20023eeedf&lang=English; https://urbantoronto.ca/forum/threads/brightwater-35s-kilmer-dream-fram-slokker-peel-housing-corp-gpa-tf.19328/; https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20260218/SEDAR_PLUS/CSA_SEDAR_PLUS_NOTICE_RECORD_ID_2321819.pdf; https://www.streetinsider.com/Business%2BWire/Dream%2BImpact%2BTrust%2BReports%2BSecond%2BQuarter%2B2026%2BResults/26867648.html; https://www.streetinsider.com/Business%2BWire/Dream%2BImpact%2BTrust%2BReports%2BThird%2BQuarter%2B2025%2BResults/25546512.html; https://www.mississauga.ca/wp-content/uploads/2024/11/07091151/OPA-24-4-W1-OPA-181-Notice-of-Passing-Public-Notice.pdf; https://www.urbanstrategies.com/project/portcredit_brightwater/; https://data.mississauga.ca/pages/mississauga-3d; https://ws.geoservices.lrc.gov.on.ca/arcgis5/rest/services/Elevation/Ontario_DTM_LidarDerived/ImageServer
brightwater-one-two,Brightwater I & II,Port Credit,Completed baseline,2024,2024,,{},Municipal source geometry identified and retained,Municipal award report identifies Brightwater I at 215 Lakeshore West. Source footprints align with C1 and H1 on the current adopted masterplan.,https://experiencebrightwater.ca/; https://urbantoronto.ca/news/2024/12/urbantoronto-year-end-poll-vote-best-buildings-2024-presented-sapphire-balconies.57307; https://dream.ca/wp-content/uploads/2024/05/Dream-Impact-Trust_Q1-2024_combined-For-filing.pdf; https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20260218/SEDAR_PLUS/CSA_SEDAR_PLUS_NOTICE_RECORD_ID_2321819.pdf
brightwater-mason,The Mason at Brightwater,Port Credit,Completed and occupied baseline,2025,2025,,{},Municipal source geometry identified and retained,"Source footprint matches G1. Nine-storey-scale body is already represented: captured ground 81.82, main roof 115.12 and upper roof 120.62 m ASL. Retain this geometry without stretching.",https://experiencebrightwater.ca/; https://renx.ca/index.php/brightwater-community-is-progressing-in-all-facets; https://investors.dream.ca/wp-content/uploads/2025/05/Dream-Unlimited-Q1-2025_FINAL.pdf; https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20260218/SEDAR_PLUS/CSA_SEDAR_PLUS_NOTICE_RECORD_ID_2321819.pdf
brightwater-bridge-house,Bridge House at Brightwater,Port Credit,Planning; construction start not verified,2025-12-31,,2030,{},Geometry conflict or version uncertainty; inspect evidence,Construction commencement was not confirmed. No official cancellation was found. Latest explicit reviewed forecast is 2030 occupancy in the year-end 2025 planning table. Source geometry remains a phase-matching issue; a financial unit count is not an exact footprint or facade source.,https://renx.ca/index.php/brightwater-community-is-progressing-in-all-facets; https://urbantoronto.ca/forum/threads/toronto-bridge-house-m-19s-pcwvp-a%E2%80%94a.34762/; https://experiencebrightwater.ca/; https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20260218/SEDAR_PLUS/CSA_SEDAR_PLUS_NOTICE_RECORD_ID_2321819.pdf; https://experiencebrightwater.ca/bridge-house/
lakeview-master,Lakeview Village,Lakeview,Infrastructure and first residential phase under construction,2026-09-20,,,{},Geometry conflict or version uncertainty; inspect evidence,"The 2019 concept, 2022 massing, 2023 maximum permission and current 12,000-home projection represent different stages. September 2026 reporting identifies townhome revisions to apartment blocks 4, 8 and 9. The 26 municipal source components belong to four site-plan files and do not cover all current phases; named-phase matching remains unresolved. Do not fill missing parcels with historical towers. A current developer marketing count differs from the City overview and earlier reporting. No new complete dimensioned masterplan was recovered in this bounded update, so this count change does not justify invented footprints or tower removals.",https://www.mississauga.ca/projects-and-strategies/city-projects/lakeview-waterfront-area-redevelopment/lakeview-village/; https://www.sasaki.com/projects/lakeview-village-master-plan/; https://www.mississauga.ca/wp-content/uploads/2018/10/03165546/inspiration-lakeview-masterplan-compressed-2.pdf; https://thepointer.com/article/2026-09-04/mississauga-residents-skeptical-after-lakeview-village-proposal-drops-by-4k-units-to-accommodate-more-townhomes; https://www.mississauga.ca/wp-content/uploads/2024/04/01115530/lakeview-village-environmental-noise-feasibility-report.pdf; https://cdn.aglty.io/tgbxpvs6/pillars/planning/LakeviewVillage_DMP4.0.pdf; https://mylakeviewvillage.com/project
lakeview-harbourwalk,Harbourwalk,Lakeview,Under construction,2026-08,,Summer 2028,{},Latest geometry unavailable in source model,"Urban Toronto counts one connected building. Preserve its terraces rather than drawing two generic rectangular towers. Overall height in metres was not verified. The developer’s August 2026 update reports Level 8 forming. This is dated stage evidence, not a measured absolute height or proof every wing has eight complete floors. No new clipping elevation is inferred.",https://www.tridel.com/lakeviewvillagecondos/news/; https://urbantoronto.ca/database/projects/harbourwalk-lakeview-village.48912; https://urbantoronto.ca/news/2025/03/cranes-mississaugas-lakeview-village-first-phases-advance.58211; https://www.tridel.com/all-communities/; https://www.mississauga.ca/projects-and-strategies/city-projects/lakeview-waterfront-area-redevelopment/lakeview-village/
lakeview-aquanova,Aquanova,Lakeview,Marketed/preconstruction,2026-09-20,,,{},Latest geometry unavailable in source model,The developer refers to 42 floors of suites; Urban Toronto counts 43 storeys overall. Treat 43 as a secondary-source overall count until an architectural section resolves the convention.,https://greenparkgroup.ca/new-homes/mississauga/aquanova/; https://greenparkgroup.ca/blog/live-easy-is-back/; https://urbantoronto.ca/forum/threads/toronto-aquanova-condos-at-lakeview-village-m-43s-greenpark-graziani-corazza.32662/; https://aquanovacondos.com/
lakeview-birch,Birch Condos & Towns,Lakeview,Planned; construction not verified,2025-03,,,{},Latest geometry unavailable in source model,"The developer staging page is launch material, not current construction evidence. No storey-to-metre conversion has been invented.",https://staging.branthaven.com/stg/pier-house/; https://urbantoronto.ca/news/2025/03/cranes-mississaugas-lakeview-village-first-phases-advance.58211; https://www.branthaven.com/communities/pier-house/
lakeview-innovation,Lakeview Innovation District,Lakeview,Planned employment district,2026-09-20,,,{},Latest geometry unavailable in source model,The district can be represented as a planning area. Specific office building geometry has not been verified.,https://www.ideamississauga.ca/discover/lakeview-innovation-district/; https://www.mississauga.ca/projects-and-strategies/city-projects/lakeview-waterfront-area-redevelopment/lakeview-village/; https://mylakeviewvillage.com/
rangeview,Rangeview Estates,Lakeview,Master plan endorsed; Official Plan Amendment 204,2026-02,,,{},Latest geometry unavailable in source model,"25 storeys is a maximum, not a complete tower schedule. Use MOPA 204 and the latest plan rather than the earlier 3,700-home assumption. Master plan endorsement does not establish that every building is approved for construction.",https://www.mississauga.ca/services-and-programs/planning-and-development/development-applications/active-development-applications/rangeview-estates-opa-24-11-w1/; https://www.mississauga.ca/wp-content/uploads/2026/02/13121528/MOPA204.pdf; https://www.mississauga.ca/wp-content/uploads/2024/12/09150635/master-plan-opa-24-11-w1.pdf; https://urbantoronto.ca/database/projects/rangeview.54077; https://bousfields.ca/project/rangeview-development-master-plan/
