Source group,Source name,OZ,SP,Component IDs,Audit status,Matched descriptions,Retained components
city-group-12,Unipetro Dixie,,SP 21 31,42-815; 42-816,Exact-scope web review completed; detailed geometry subject to cited caveats,Proposal for a hotel; also includes the relocation of the existing car wash.,2
city-group-13,"579-619 Lakeshore Rd. East and 1022, 1028 Caven St.",OZ 22 26,,102-7040; 102-7041; 102-7042; 102-7043; 102-7044; 102-7045; 102-7046; 102-7047; 102-7048; 102-7049,Source inventory matched; detailed geometry unverified,New mixed-use development,10
city-group-14,49 South Service Rd.,OZ 22 23,SP 24 32,102-7050,Exact-scope web review completed; detailed geometry subject to cited caveats,29 storey residential building with 346 units,1
city-group-15,Dixie Outlet Mall redevelopment,OZ 22 32,,102-7051; 102-7052; 102-7053; 102-7054; 102-7055; 102-7056; 102-7057,Exact-scope web review completed; detailed geometry subject to cited caveats,Revised proposal  to 4 residential apartment buildings 4-19 storeys (997 units),7
city-group-16,1127 & 1129 Dixie Rd.,,SP 25 20,102-7058; 102-7059,Public-source follow-up completed; current status qualified,,2
city-group-17,Lakeview DXE Club,,SP 21 143,102-7060; 102-7061; 102-7062; 102-7063; 102-7064; 102-7065; 102-7066; 102-7067,Detailed project dossier and exact component crosswalk reviewed,,8
city-group-18,857 & 859 Lakeshore Rd. East,,SP 24 51,102-7068,Exact-scope web review completed; detailed geometry subject to cited caveats,Pdox transfer file 18-110 w1 || 4-storey mixed use building with residential & ground floor commercial,1
city-group-19,1575 Hurontario St.,,SP 22 166,102-7069; 102-7070,Exact-scope web review completed; detailed geometry subject to cited caveats,Townhouses (18 units) on a condominium road,2
city-group-20,170 Lakeshore Rd. East,OZ 21 16,,102-7071; 102-7072,Detailed project dossier and exact component crosswalk reviewed,,0
city-group-21,865 Lakeshore Rd. East,,SP 21 25,102-7073,Exact-scope web review completed; detailed geometry subject to cited caveats,Construction of new three-storey mixed use building,1
city-group-22,Unnamed construction geometry,,,102-7101; 102-7105; 102-7128; 103-1103; 43-295; 63-6237; 63-6238; 63-6249; 63-6253; 22-1896; 22-14240; 22-14251; 13-11445; 91-5030; 33-4091; 12-17083; 12-17095; 93-770; 11-5542; 11-5545; 71-6200; 51-5314; 92-4866; 21-4741; 41-7762; 41-7770; 82-5574,27 component-specific reviews delegated and recorded,,26
city-group-23,Sheridan Park Offices,HOZ 19 10,SP 19 134,81-2824; 81-2825,Exact-scope web review completed; detailed geometry subject to cited caveats,2 one storey office buildings,2
city-group-24,2395 Speakman Dr.,,SP 23 4,81-2826; 81-2827; 81-2828; 81-2829; 81-2830,Exact-scope web review completed; detailed geometry subject to cited caveats,Five new buildings for science and technology,5
city-group-25,2251 North Sheridan Way,,SP 19 124,81-2831,Exact-scope web review completed; detailed geometry subject to cited caveats,3 storey office building,1
city-group-26,2225 Erin Mills Parkway / Sheridan Centre,OZ 23 4,,81-2832,Public-source follow-up completed; current status qualified,,1
city-group-27,2225 Erin Mills Parkway / Sheridan Centre,OZ 23 4,SP 25 13,81-2833,Public-source follow-up completed; current status qualified,,1
city-group-28,Erinview Redevelopment - Retirement Residence,,SP 19 108,81-2834; 81-2835,Exact-scope web review completed; detailed geometry subject to cited caveats,5 storey retirement building containing 75 units (phase 2),2
city-group-29,Abacot Hill / 1720 Sherwood Forrest Circle,,SP 25 19,81-2836; 81-2837; 81-2838; 81-2839; 81-2840; 81-2841; 81-2842; 81-2843; 81-2844; 81-2845; 81-2846; 81-2847; 81-2848; 81-2849; 81-2850; 81-2851; 81-2852; 81-2853; 81-2854; 81-2855; 81-2856; 81-2857; 81-2858; 81-2859; 81-2860; 81-2861; 81-2862; 81-2863; 81-2864; 81-2865; 81-2866; 81-2867; 81-2868; 81-2869; 81-2870; 81-2871; 81-2872; 81-2873; 81-2874; 81-2875; 81-2876; 81-2877; 81-2878; 81-2879; 81-2880; 81-2881; 81-2882; 81-2883; 81-2884; 81-2885; 81-2886; 81-2887; 81-2888; 81-2889; 81-2890; 81-2891,Exact-scope web review completed; detailed geometry subject to cited caveats,41 detached dwellings on a common element condominium road (originally 56 units),0
city-group-30,Byngmount Shores / 970 East Avenue,,SP 24 35,103-1073; 103-1074; 103-1075,Public-source follow-up completed; current status qualified,,3
city-group-31,420 Lakeshore Rd. East,,SP 24 58,103-1076,Exact-scope web review completed; detailed geometry subject to cited caveats,9 storey residential building with 166 units and retail at grade,1
city-group-32,Lakeview Village,,SP 24 19,103-1077; 103-1078; 103-1079,Source inventory matched; detailed geometry unverified,Lakeview block 15 section 47 submission (not subject to bill 109),3
city-group-33,Lakeview Village,,SP 24 15,103-1080; 103-1081; 103-1082; 103-1083; 103-1084; 103-1085; 103-1086,Source inventory matched; detailed geometry unverified,"Four residential apartment buildings of 43, 26, 21 and 32-storeys (1100 units) with gr. fl. commercial 1,899.62 m2",7
city-group-34,Lakeview Village,,SP 22 56,103-1087; 103-1088; 103-1089; 103-1090; 103-1091; 103-1092; 103-1093; 103-1094,Source inventory matched; detailed geometry unverified,Site plan for block 1 lakeview - branthaven,8
city-group-35,Lakeview Village,,SP 22 82,103-1095; 103-1096; 103-1097; 103-1098; 103-1099; 103-1100; 103-1101; 103-1102,Source inventory matched; detailed geometry unverified,Block 2 -  12 storey residential apartment building (325 units) and six townhouse blocks (46 townhouses),8
city-group-36,Spectrum Square Development,,SP 20 62,43-283,Exact-scope web review completed; detailed geometry subject to cited caveats,Four storey office building,1
city-group-37,Connecting Cooksville,OZ 22 19,,63-6157; 63-6158; 63-6159; 63-6160; 63-6161; 63-6162; 63-6163; 63-6164; 63-6165; 63-6166,Dossier + source inventory,"5 residential apartment buildings of 43, 43, 46, 39 and 34 storeys (2224 units) with commercial and community uses",10
city-group-38,65-71 Agnes St.,OZ 22 17,,63-6167; 63-6168; 63-6169,Dossier research,,0
city-group-39,M City,HOZ 22 7,SP 24 30,63-6170; 63-6171; 63-6172,Source inventory matched; detailed geometry unverified,Two condo apartment buildings with a shared podium,3
city-group-40,M City,HOZ 22 7,SP 22 145,63-6173; 63-6174,Source inventory matched; detailed geometry unverified,Site plan application for 58-storey mixed-use building,2
city-group-41,325 Burnhamthorpe Rd. West,,SP 22 139,63-6175; 63-6176; 63-6177; 63-6178; 63-6179; 63-6180; 63-6181; 63-6182; 63-6183; 63-6184; 63-6185; 63-6186; 63-6187; 63-6188,Source inventory matched; detailed geometry unverified,Site plan for two towers built on a shared podium - phase 1,14
city-group-42,135 City Center Dr.,,SP 21 159,63-6189; 63-6190,Detailed project dossier and exact component crosswalk reviewed,,0
city-group-43,97-101 City Centre Dr.,HOZ 19 12,SP 20 6,63-6191; 63-6192; 63-6193,Source inventory matched; detailed geometry unverified,"2 mixed use buildings, 55 and 65 storeys, consisting of 1,309 residential units & 1,664 sq m of retail commercial space",3
city-group-44,180 Burnhamthorpe,HOZ 22 4,SP 21 119,63-6194; 63-6195; 63-6196,Source inventory matched; detailed geometry unverified,"Two rental apartment buildings, 40 and 60 storeys, with a 8 storey podium and ground floor retail",3
city-group-45,Exchange District South,HOZ 22 5,SP 22 60,63-6197; 63-6198; 63-6199; 63-6200; 63-6201,Source inventory matched; detailed geometry unverified,"4 residential towers with 60, 60, 40 and 72 storeys with at grade retail for 3 towers.",5
city-group-46,3600 Hurontario St.,,SP 25 3,63-6202; 63-6204; 63-6205,Source inventory matched; detailed geometry unverified,C-19 interim now sp 25-3 w7 - revised submission of sp 09-27: 50 storey residential with gr fl retail (584 units),3
city-group-47,Enflield Place II,,SP 25 21,63-6203,Source inventory matched; detailed geometry unverified,Apartment buildiing with retail at grade,1
city-group-48,16 Elm Dr. West,,SP 20 103,63-6206; 63-6207,Detailed project dossier and exact component crosswalk reviewed,,2
city-group-49,3420-3442 Hurontario St.,,SP 22 114,63-6208; 63-6209; 63-6210,Exact-scope web review completed; detailed geometry subject to cited caveats,Two mixed use towers with commercial/retail,3
city-group-50,30 Eglinton Avenue West,,SP 22 15,63-6211; 63-6212; 63-6213; 63-6214; 63-6215; 63-6216; 63-6217; 63-6218,Exact-scope web review completed; detailed geometry subject to cited caveats,"Three residential towers of 45, 45 and 37 storeys (1,577 units) and gr fl commercial. 9 st office, heritage bldg remain",0
city-group-51,Square One Block 14,HOZ 20 2,SP 20 99,63-6219; 63-6220; 63-6221,Source inventory matched; detailed geometry unverified,19-storey office building with a 3-storey mixed use podium,3
city-group-52,4220 Living Arts Dr.,HOZ 19 11,SP 19 144,63-6222; 63-6223; 63-6224; 63-6225; 63-6226; 63-6227; 63-6228,Source inventory matched; detailed geometry unverified,Two residential / mixed use towers - 41 and 31 storeys w pops/mews,4
city-group-53,149 Dundas St. West,,SP 22 162,63-6229; 63-6230; 63-6231; 63-6232; 63-6233; 63-6234,Dossier + source inventory,"Three residential apartment buildings of 18, 20 and 32 storeys (966 units) with ground fl retail",0
city-group-54,3051 Cook St.,,SP 21 102,63-6235; 63-6236,Dossier research,,2
city-group-55,Artisan Towns / 1725 Barbertown Road,,SP 22 27,22-14211; 22-14212; 22-14213; 22-14214; 22-14215; 22-14216; 22-14217; 22-14218; 22-14219; 22-14220; 22-14221,Public-source follow-up completed; current status qualified,,11
city-group-56,Lullaboo Bristol Campus,,SP 19 141,22-14222,Public-source follow-up completed; current status qualified,,1
city-group-57,Streetsville Care Community,,SP 25 1,22-14223,Exact-scope web review completed; detailed geometry subject to cited caveats,4 storey long term care facility,1
city-group-58,29 Queen St. South,,SP 23 1,22-14224,Exact-scope web review completed; detailed geometry subject to cited caveats,Demolish existing building and build one two storey mixed use building with medical and residential,1
city-group-59,5985 McLaughlin Rd.,,SP 24 54,22-14225,Public-source follow-up completed; current status qualified,,1
city-group-60,333 Matheson Blvd. West,,SP 24 34,22-14226,Exact-scope web review completed; detailed geometry subject to cited caveats,Addition to existing industrial building,1
city-group-61,Yee Hong Mississauga retirement and life-lease development,,SP 22 53,22-14227; 22-14228; 22-14229; 22-14230,Public-source follow-up completed; current status qualified,,4
city-group-62,5085 McLaughlin Rd.,,SP 22 144,22-14231,Public-source follow-up completed; current status qualified,,1
city-group-63,Evergreen retirement addition / 800 Scollard Court,,SP 20 67,22-14232,Exact-scope web review completed; detailed geometry subject to cited caveats,"5 storey, 124 unit assisted living/memory care retirement residence",1
city-group-64,Watergarden,,SP 20 73,22-14233; 22-14234; 22-14235,Dossier research,,3
city-group-65,Watergarden,,SP 22 99,22-14236; 22-14237; 22-14238; 22-14239,Dossier + source inventory,3 residential buildings with commercial at grade,4
city-group-66,Derry Britannia Phase 1 / Ninth Line,,SP 24 50,13-11375; 13-11376; 13-11377; 13-11378; 13-11379; 13-11380; 13-11381; 13-11382; 13-11383; 13-11384; 13-11385; 13-11386; 13-11387; 13-11388; 13-11389; 13-11390; 13-11391; 13-11392; 13-11393; 13-11394; 13-11395; 13-11396; 13-11397; 13-11398; 13-11399; 13-11400; 13-11401; 13-11402; 13-11403; 13-11404; 13-11405; 13-11406; 13-11407; 13-11408; 13-11409; 13-11410; 13-11411; 13-11412; 13-11413; 13-11414; 13-11415,Public-source follow-up completed; current status qualified,,41
city-group-67,6020 Winston Churchill Blvd.,,SP 24 27,13-11416,Dossier research,,1
city-group-68,Meadowvale Lane,,SP 20 86,13-11417; 13-11418; 13-11419; 13-11420; 13-11421; 13-11422; 13-11423; 13-11424; 13-11425; 13-11426; 13-11427; 13-11428; 13-11429; 13-11430; 13-11431,Exact-scope web review completed; detailed geometry subject to cited caveats,A 15 lot subdivision with each lot containing a detached dwelling,15
city-group-69,6719-6749 Glen Erin Dr.,,SP 23 2,13-11432; 13-11433; 13-11434; 13-11435; 13-11436; 13-11437,Dossier + source inventory,12 storey residential apartment building (184 units) and 4 townhouse blocks (28 units)(ex'g 13 storey bldg to remain),6
city-group-70,Fire Station #111 - Renovation & Addition,,SP 24 56,13-11438,Public-source follow-up completed; current status qualified,,1
city-group-71,2480 Argentia Rd.,,SP 22 161,13-11439,Exact-scope web review completed; detailed geometry subject to cited caveats,Four-storey self-storage building,1
city-group-72,2350 Argentia Rd.,,SP 24 36,13-11440,Public-source follow-up completed; current status qualified,,1
city-group-73,6500 Mississauga Rd.,,SP 24 52,13-11441; 13-11442,Exact-scope web review completed; detailed geometry subject to cited caveats,Site plan application for two warehouse buildings,2
city-group-74,6500 Mississauga Rd.,,SP 24 53,13-11443,Exact-scope web review completed; detailed geometry subject to cited caveats,Site plan application for one industrial building,1
city-group-75,3425 Winston Churchill Blvd.,,SP 25 15,52-5087,Exact-scope web review completed; detailed geometry subject to cited caveats,Site plan for new c store and drive thru,1
city-group-76,2935 & 2955 Mississauga Rd.,OZ 22 6,,91-5016; 91-5017; 91-5018; 91-5019,Exact-scope web review completed; detailed geometry subject to cited caveats,12 storey residential building (196 units) and 20 stacked townhouses,4
city-group-77,2570-2590 Argyle Rd.,OZ 20 17,SP 25 9,91-5020; 91-5021,Dossier + source inventory,New residential apartment building (existing buildings to remain),2
city-group-78,Erindale Academy School Addition,,SP 20 22,91-5022,Exact-scope web review completed; detailed geometry subject to cited caveats,"A two-storey addition to existing private school and alterations to administration building, landscaping and parking",1
city-group-79,1646 Dundas St. West,,SP 22 90,91-5023,Exact-scope web review completed; detailed geometry subject to cited caveats,Mixed use residential/commercial building,1
city-group-80,Cashmere Ave PS Child Care Centre,,SP 22 140,91-5024,Public-source follow-up completed; current status qualified,,1
city-group-81,2515-2532 Argyle Rd.,,SP 24 16,91-5025; 91-5026; 91-5027; 91-5028,Public-source follow-up completed; current status qualified,,4
city-group-82,Trillium Health Partners M-Site Redevelopment,,SP 22 2,91-5029,Dossier research,,1
city-group-83,69 & 117 John St.,OZ 24 16,,72-6105; 72-6106; 72-6107; 72-6108; 72-6109; 72-6110; 72-6111,Dossier research,,0
city-group-84,Dam Charity and Residential,OZ 22 24,,72-6112; 72-6113; 72-6115; 72-6118,Dossier + source inventory,42-storey residential apartment building (520 units) with community and retail uses,4
city-group-85,Dam Charity and Residential,OZ 21 11,,72-6114; 72-6116; 72-6117,Dossier + source inventory,"4 residential buildings (31, 33, 36 and 39 storeys) with 1,691 dwelling units and 1222 m2 of ground floor commercial",3
city-group-86,3085 Hurontario St.,OZ 21 11,,72-6119; 72-6120; 72-6121; 72-6122; 72-6123; 72-6124; 72-6125; 72-6126,Dossier + source inventory,"4 residential buildings (31, 33, 36 and 39 storeys) with 1,691 dwelling units and 1222 m2 of ground floor commercial",8
city-group-87,3016 Kirwin Ave.,OZ 21 5,,72-6127,Dossier + source inventory,8 storey apartment building with 148 residential units,1
city-group-88,Elia Land,OZ 21 8,,72-6128; 72-6129; 72-6130; 72-6131; 72-6132; 72-6133; 72-6134; 72-6135; 72-6136; 72-6137; 72-6138; 72-6139; 72-6140; 72-6141; 72-6142; 72-6143; 72-6144; 72-6145; 72-6146; 72-6147; 72-6148; 72-6149; 72-6150; 72-6151; 72-6152; 72-6153; 72-6154; 72-6155; 72-6156; 72-6157; 72-6158; 72-6159; 72-6160; 72-6161; 72-6162; 72-6163; 72-6164,Public-source follow-up completed; current status qualified,,37
city-group-89,596 Lolita Gardens,,SP 21 100,72-6165,Dossier research,,1
city-group-90,3575 Kaneff Crescent infill tower,OZ 20 7,SP 22 75,72-6166; 72-6167,Exact-scope web review completed; detailed geometry subject to cited caveats,33 storey residential apartment building with a 4 storey podium (322 units).,2
city-group-91,3355 Hurontario St.,,SP 24 26,72-6168; 72-6169; 72-6170,Exact-scope web review completed; detailed geometry subject to cited caveats,Two mixed use towers (section 47),3
city-group-92,Metro Store No. 461,,SP 22 163,72-6171,Public-source follow-up completed; current status qualified,,1
city-group-93,4310 Sherwoodtowne Blvd.,HOZ 23 3,SP 24 41,72-6172; 72-6173; 72-6174,Source inventory matched; detailed geometry unverified,A mixed use development with 2 residential towers and office space,3
city-group-94,20 Traders Boulevard East,,SP 24 57,33-4077,Public-source follow-up completed; current status qualified,,1
city-group-95,SOTI Headquarters,,SP 24 59,33-4078,Exact-scope web review completed; detailed geometry subject to cited caveats,Pdox transfer file sp 17-53 w5 || 6 storey office building,1
city-group-96,Above Condos / 30 Bristol Road East,HOZ 22 8,SP 20 28,33-4079; 33-4080; 33-4081,Exact-scope web review completed; detailed geometry subject to cited caveats,Mixed-use residential tower with podium,3
city-group-97,"125 Eglinton Ave. East, 5115 Thornwood Dr. & 5125 Thornwood Dr.",HOZ 21 2,SP 21 13,33-4082; 33-4083; 33-4084; 33-4085; 33-4086; 33-4087; 33-4088; 33-4089,Exact-scope web review completed; detailed geometry subject to cited caveats,A twenty-five storey residential apartment building (559 apartment units) and 16 townhouses,8
city-group-98,1150 Derry Rd. East,,SP 22 8,32-917,Exact-scope web review completed; detailed geometry subject to cited caveats,5 storey office building,1
city-group-99,1024 Westport Cres.,,SP 25 4,32-918,Exact-scope web review completed; detailed geometry subject to cited caveats,Site plan for industrial building with office,1
city-group-100,6333 Hurontario St.,OZ 21 1,,32-919,Dossier + source inventory,7 storey self storage building with office and retail,1
city-group-101,Galaxy Banquet Hall,,SP 23 18,32-920,Exact-scope web review completed; detailed geometry subject to cited caveats,Pdox transfer file sp 19-54 w5 || conversion of warehouse to banquet hall,1
city-group-102,Hampton Inn & Suites proposal / 110 Derry Road East,,SP 24 48,32-921,Public-source follow-up completed; current status qualified,,1
city-group-103,1470 Williamsport Drive,OZ 25 7,SP 25 11,73-4275; 73-4276; 73-4277; 73-4278; 73-4279,Exact-scope web review completed; detailed geometry subject to cited caveats,Two rental apartment buildings on a shared podium,5
city-group-104,3403-3445 Fieldgate Drive,OZ 25 1,,73-4280; 73-4281; 73-4282; 73-4283; 73-4284; 73-4285; 73-4286,Dossier + source inventory,"Three residential apartment buildings, townhomes and commercial uses",7
city-group-105,4855 Tahoe Boulevard,,SP 24 12,73-4287,Exact-scope web review completed; detailed geometry subject to cited caveats,New industrial building,1
city-group-106,4859 and 4861 Tahoe Boulevard / Tahoe Centre,,SP 24 13,73-4288; 73-4289; 73-4290,Exact-scope web review completed; detailed geometry subject to cited caveats,Three industrial buildings,3
city-group-107,Chelsea on the Green I,,SP 23 11,73-4291; 73-4292; 73-4293,Public-source follow-up completed; current status qualified,,3
city-group-108,1840-1850 Bloor St.,OZ 20 3,SP 25 8,73-4294; 73-4295; 73-4296,Exact-scope web review completed; detailed geometry subject to cited caveats,Two apartment buildings,3
city-group-109,1750 Bloor Street and 3315 Fieldgate Drive,,SP 20 129,73-4297; 73-4298; 73-4299,Exact-scope web review completed; detailed geometry subject to cited caveats,15 storey residential apartment building with 265 dwelling units and  a 1 storey amenity building,3
city-group-110,1785 Bloor St.,OZ 22 14,SP 24 38,73-4300; 73-4301,Dossier + source inventory,New residential apartment building (existing apartment building to be retained),2
city-group-111,Pacific Way Residential Development,OZ 18 14,SP 25 7,73-4302; 73-4303,Exact-scope web review completed; detailed geometry subject to cited caveats,Addtion of one apartment building,2
city-group-112,1995 Dundas St. East,OZ 25 5,,73-4304; 73-4305; 73-4306; 73-4307; 73-4308,Dossier + source inventory,Two residential apartment buildings with ground floor retail/commercial space and two storey townhomes,5
city-group-113,4099 Erin Mills Parkway,OZ 22 25,,53-2511; 53-2512; 53-2513; 53-2514; 53-2515; 53-2516; 53-2517; 53-2518; 53-2519; 53-2520,Dossier + source inventory,5 residential apartment buildings 6-10 storeys (591 units); retail at grade; 7 blocks of stacked townhouses (112 units)-,10
city-group-114,2555 Erin Centre Boulevard,OZ 25 6,,12-16985; 12-16986; 12-16987; 12-16988; 12-16989; 12-16990,Dossier + source inventory,"3 residential apartment building of 34, 31 and 28 storey with 1022 units and 1080 sq metres of retail at grade",6
city-group-115,Joymar Drive & Tannery Street,OZ 25 3,SP 25 16,12-16991; 12-16992; 12-16993; 12-16994; 12-16995; 12-16996,Dossier + source inventory,Three residential apartment buildings with a total of 1043 units,6
city-group-116,150 Rutledge Road,OZ 24 12,,12-16997,Dossier + source inventory,10 storey apartment with 301 apartment dwellings and 4 townhouse dwellings (total of 305 units),1
city-group-117,142-148 Queen Street South,OZ 24 8,SP 25 17,12-16998; 12-16999; 12-17000; 12-17001; 12-17002; 12-17003; 12-17004; 12-17005; 12-17006; 12-17007; 12-17008; 12-17009; 12-17010; 12-17011; 12-17012; 12-17013; 12-17014; 12-17015; 12-17016,Dossier + source inventory,"Two mixed use buildings with retail at grade | 5 mixed use buildings with heights ranging from 2 to 15 storey, new public roads and public and private open space",19
city-group-118,51-57 Tannery Street & 208 Embry Drive,OZ 24 7,,12-17017; 12-17018; 12-17019,Dossier research,,3
city-group-119,"5034, 5054, 5080 Ninth Line",OZ 21 15,,12-17020; 12-17021; 12-17022; 12-17023; 12-17024; 12-17025; 12-17026; 12-17027; 12-17028; 12-17029; 12-17030; 12-17031,Dossier + source inventory,"6 apartment buildings with 6-12 storeys with commercial uses, 2 three storey townhouse blocks, a public park",12
city-group-120,5100 - Erin Mills Town Centre,OZ 24 15,,12-17032; 12-17033; 12-17034; 12-17035; 12-17036; 12-17037; 12-17038; 12-17039; 12-17040; 12-17041; 12-17042; 12-17043; 12-17044; 12-17045; 12-17046; 12-17047; 12-17048,Dossier + source inventory,9 residential buildings ranging from 20 and 44 storeys with a total of 3162 units,17
city-group-121,86 Thomas St.,OZ 20 11,,12-17049; 12-17050,Public-source follow-up completed; current status qualified,,2
city-group-122,190 Rutledge Road,,SP 21 155,12-17051,Exact-scope web review completed; detailed geometry subject to cited caveats,New 5 storey condo building,1
city-group-123,900 Lakeshore Rd. West,OZ 25 8,,93-741,Source inventory matched; detailed geometry unverified,Residential apartment building,0
city-group-124,Brightwater,,SP 21 130,93-742; 93-743; 93-744; 93-745; 93-746; 93-747; 93-748,Source inventory matched; detailed geometry unverified,"3 residential buildings, 15, 6 and 19 storeys, and 19 townhouses",7
city-group-125,Brightwater,,SP 22 103,93-749; 93-750; 93-751; 93-752; 93-753; 93-754; 93-755; 93-756,Source inventory matched; detailed geometry unverified,Site plan for 70 townhouses,8
city-group-126,42 Port,OZ 22 30,,93-757; 93-758; 93-759; 93-760,Source inventory matched; detailed geometry unverified,"10 storey mixed use building with 221 residential units and 1,719 m2 commercial/retail",4
city-group-127,2585 Meadowpine Blvd.,,SP 22 52,11-5532,Exact-scope web review completed; detailed geometry subject to cited caveats,3 storey addition with underground parking to existing 1 storey industrial building,1
city-group-128,2388 Meadowpine Blvd.,,SP 24 17,11-5533,Public-source follow-up completed; current status qualified,,1
city-group-129,7015 Kennedy Rd.,,SP 25 18,31-195,Exact-scope web review completed; detailed geometry subject to cited caveats,Gas station redevelopment,1
city-group-130,1315 Silver Spear Road infill,OZ 18 5,SP 25 14,71-6167,Exact-scope web review completed; detailed geometry subject to cited caveats,One rental apartment building,1
city-group-131,1325 Burnhamthorpe Road East veterinary clinic and office,,SP 25 22,71-6168; 71-6169,Exact-scope web review completed; detailed geometry subject to cited caveats,Veterinarian clinic and office,2
city-group-132,1225 Dundas St. East,OZ 22 20,SP 22 131,71-6170; 71-6171; 71-6172; 71-6173; 71-6174; 71-6175; 71-6176,Dossier + source inventory,12 storey residential apartment building (462 units) with gr fl retail and back-to-back townhouses (34 units),0
city-group-133,3111 & 3123 Cawthra Rd.,,SP 24 18,71-6177; 71-6178; 71-6179; 71-6180; 71-6181; 71-6182; 71-6183; 71-6184,Public-source follow-up completed; current status qualified,,8
city-group-134,971 Burnhamthorpe Rd.,OZ 14 1,,71-6185,Public-source follow-up completed; current status qualified,,1
city-group-135,4094 Tomken Rd.,OZ 22 28,,71-6186; 71-6187,Dossier research,,2
city-group-136,St Luke's Seniors Affordable Housing,OZ 24 10,,71-6188,Dossier research,,1
city-group-137,4496 Tomken Rd.,HOZ 24 3,SP 24 33,71-6189; 71-6190,Exact-scope web review completed; detailed geometry subject to cited caveats,Removal of the h application,2
city-group-138,4598 Tomken Rd.,,SP 24 40,71-6191,Exact-scope web review completed; detailed geometry subject to cited caveats,Medical office building,1
city-group-139,Winchester Convention Centre,,SP 24 25,71-6192,Public-source follow-up completed; current status qualified,,1
city-group-140,900 Eglinton Ave. East,OZ 19 2,SP 20 34,71-6193,Exact-scope web review completed; detailed geometry subject to cited caveats,"A new place of religious assembly (1,221.1m2)",1
city-group-141,1016 Eglinton Ave. East,,SP 24 14,71-6194,Public-source follow-up completed; current status qualified,,1
city-group-142,1108 Eglinton Ave. East,OZ 17 7,,71-6195,Public-source follow-up completed; current status qualified,,1
city-group-143,3855 Dundas St. West,OZ 18 18,,51-5294; 51-5295,Exact-scope web review completed; detailed geometry subject to cited caveats,"4-storey non-residential building containing a self storage facility, offices and 11 industrial condominium units.",2
city-group-144,St. Mark & St. Demiana Coptic Orthodox Church,OZ 20 16,,51-5296; 51-5297; 51-5298,Exact-scope web review completed; detailed geometry subject to cited caveats,A place of religious assembly with accessory uses,3
city-group-145,Hilton Garden Inn,,SP 24 49,51-5299; 51-5300,Exact-scope web review completed; detailed geometry subject to cited caveats,Pdox transfer file sp 19-106 w8 || 6-storey hotel,2
city-group-146,1148-1154 Mona Rd.,OZ 25 2,,92-4840; 92-4841; 92-4842,Public-source follow-up completed; current status qualified,,3
city-group-147,70 Park St. East,OZ 23 3,,92-4843; 92-4844; 92-4845,Detailed project dossier and exact component crosswalk reviewed,,0
city-group-148,1139 Lorne Park Rd.,,SP 23 15,92-4846,Public-source follow-up completed; current status qualified,,1
city-group-149,128 Lakeshore,OZ 22 5,,92-4847,Detailed project dossier and exact component crosswalk reviewed,,0
city-group-150,23 Elizabeth St.,,SP 25 10,92-4848; 92-4849,Source inventory matched; detailed geometry unverified,"Revised site plan for 30 stories and 315 units (previously 35 tower residential building, 444 units)",2
